Days Since Jan20,date,fips,cases,CaseIncrease,CaseIncreaseLog,Predicted CaseIncreaseLog,deaths,DeathInsrease,EmergDec,GathRecomAny,GathRestrict10,GathRestrictAny,NEBusinessClose,OtherBusinessClose,PublicMask,Quarantine,RestaurantRestrict,SchoolClose,StayAtHome,EmergDecMandate,GathRecomAnyMandate,GathRestrict10Mandate,GathRestrictAnyMandate,NEBusinessCloseMandate,OtherBusinessCloseMandate,PublicMaskMandate,QuarantineMandate,RestaurantRestrictMandate,SchoolCloseMandate,StayAtHomeMandate,EmergDecStateWide,GathRecomAnyStateWide,GathRestrict10StateWide,GathRestrictAnyStateWide,NEBusinessCloseStateWide,OtherBusinessCloseStateWide,PublicMaskStateWide,QuarantineStateWide,RestaurantRestrictStateWide,SchoolCloseStateWide,StayAtHomeStateWide,Validation
39,2020-02-28,6,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validation
40,2020-02-29,6,28,1,0,0.1695859759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validation
41,2020-03-01,6,33,5,1.6094379124,0.3425474022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
42,2020-03-02,6,38,5,1.6094379124,1.1642672937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validation
43,2020-03-03,6,45,7,1.9459101491,1.7628108286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
44,2020-03-04,6,55,10,2.302585093,2.2258330748,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Training
45,2020-03-05,6,67,12,2.4849066498,2.5634565382,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Validation
46,2020-03-06,6,81,14,2.6390573296,2.6118968508,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Training
47,2020-03-07,6,100,19,2.9444389792,2.9671723291,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Validation
48,2020-03-08,6,112,12,2.4849066498,3.1935021394,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Validation
49,2020-03-09,6,172,60,4.0943445622,3.3365853598,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Validation
50,2020-03-10,6,179,7,1.9459101491,3.5442283775,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Validation
51,2020-03-11,6,202,23,3.1354942159,3.4358294485,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Training
52,2020-03-12,6,252,50,3.9120230054,3.6127615993,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Training
53,2020-03-13,6,320,68,4.2195077052,3.9554211094,5,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Training
54,2020-03-14,6,381,61,4.1108738642,4.3723672846,5,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Training
55,2020-03-15,6,478,97,4.5747109785,4.9780048762,6,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Validation
56,2020-03-16,6,588,110,4.7004803658,4.7743481681,11,5,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,Validation
57,2020-03-17,6,732,144,4.9698132996,5.1183851143,14,3,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,Training
58,2020-03-18,6,893,161,5.081404365,4.8504542769,17,3,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,Training
59,2020-03-19,6,1067,174,5.1590552992,5.5630389661,19,2,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Training
60,2020-03-20,6,1283,216,5.3752784077,5.3356226385,24,5,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Validation
61,2020-03-21,6,1544,261,5.5645204073,4.9219605256,28,4,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Validation
62,2020-03-22,6,1851,307,5.7268477476,5.6989362881,35,7,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Validation
63,2020-03-23,6,2240,389,5.9635793436,6.0407557475,39,4,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Validation
64,2020-03-24,6,2644,404,6.001414878,6.0759694254,52,13,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Training
65,2020-03-25,6,3183,539,6.2897155709,6.2269405469,67,15,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Training
66,2020-03-26,6,4060,877,6.7765069924,6.6829484293,82,15,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Training
67,2020-03-27,6,4914,854,6.7499311938,7.0766574188,102,20,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Training
68,2020-03-28,6,5565,651,6.4785096422,7.1879271214,121,19,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Training
69,2020-03-29,6,6266,701,6.552507887,6.7211177857,130,9,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Training
70,2020-03-30,6,7421,1155,7.051855623,7.5295688405,146,16,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Validation
71,2020-03-31,6,8582,1161,7.0570369817,6.6515357055,183,37,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,Validation
72,2020-04-01,6,9816,1234,7.1180162045,7.0624971345,212,29,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
73,2020-04-02,6,11190,1374,7.2254814728,7.3744549155,247,35,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
74,2020-04-03,6,12569,1379,7.2291138778,7.4864329776,282,35,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
75,2020-04-04,6,13796,1227,7.1123274447,7.3085423179,323,41,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
76,2020-04-05,6,15076,1280,7.1546153569,7.4813496985,349,26,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
77,2020-04-06,6,16284,1208,7.0967213785,7.4906472342,386,37,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
78,2020-04-07,6,17540,1256,7.135687347,7.4545328275,447,61,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
79,2020-04-08,6,19043,1503,7.3152183898,7.3000328795,506,59,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
80,2020-04-09,6,20191,1148,7.0457765769,7.3884185144,548,42,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
81,2020-04-10,6,21366,1175,7.0690234266,7.3195828919,594,46,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
82,2020-04-11,6,22421,1055,6.9612960459,7.1263179065,632,38,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
83,2020-04-12,6,23323,902,6.8046145201,6.9994192549,676,44,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
84,2020-04-13,6,24334,1011,6.918695219,7.0367652758,725,49,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
85,2020-04-14,6,25758,1424,7.261225092,6.9320549711,778,53,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
86,2020-04-15,6,27107,1349,7.2071188562,6.9664760044,885,107,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
87,2020-04-16,6,28142,1035,6.9421567057,7.226065225,971,86,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
88,2020-04-17,6,29398,1256,7.135687347,7.0991724436,1050,79,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
89,2020-04-18,6,30829,1431,7.2661287796,6.9556461431,1146,96,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
90,2020-04-19,6,31544,715,6.5722825427,6.9463050284,1176,30,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
91,2020-04-20,6,33862,2318,7.7484600239,6.9339278959,1223,47,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
92,2020-04-21,6,35844,1982,7.5918617149,7.2271401775,1316,93,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
93,2020-04-22,6,37573,1729,7.4552984857,7.4362280567,1425,109,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
94,2020-04-23,6,39534,1961,7.5812098262,7.4693201498,1548,123,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
95,2020-04-24,6,41368,1834,7.5142546528,7.5746473725,1619,71,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
96,2020-04-25,6,42590,1222,7.1082441397,7.5196541625,1692,73,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
97,2020-04-26,6,43691,1101,7.0039741367,7.4920742662,1716,24,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
98,2020-04-27,6,45208,1517,7.3244899793,7.1855327431,1800,84,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
99,2020-04-28,6,46570,1362,7.2167094867,7.4875405301,1884,84,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
100,2020-04-29,6,48904,2334,7.7553388128,7.3660395835,1961,77,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
101,2020-04-30,6,50470,1566,7.3562798766,7.4681071526,2057,96,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
102,2020-05-01,6,52318,1848,7.5218592522,7.6129322842,2147,90,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
103,2020-05-02,6,53753,1435,7.2689201282,7.5769790427,2213,66,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
104,2020-05-03,6,55072,1319,7.1846291527,7.350790081,2235,22,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
105,2020-05-04,6,56333,1261,7.139660336,7.3201056559,2297,62,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
106,2020-05-05,6,58848,2515,7.8300280825,7.5170375705,2386,89,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
107,2020-05-06,6,60787,1939,7.5699276552,7.4653821822,2478,92,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
108,2020-05-07,6,62481,1694,7.4348478752,7.4765671221,2561,83,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
109,2020-05-08,6,64616,2135,7.6662219257,7.4093744241,2650,89,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
110,2020-05-09,6,66824,2208,7.6998424074,7.6277824642,2732,82,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
111,2020-05-10,6,68051,1227,7.1123274447,7.1906361319,2769,37,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
112,2020-05-11,6,69514,1463,7.288244401,7.661235112,2820,51,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
113,2020-05-12,6,71150,1636,7.4000095172,7.5223124303,2902,82,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
114,2020-05-13,6,73218,2068,7.6343372356,7.4727294074,3014,112,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
115,2020-05-14,6,74947,1729,7.4552984857,7.5157775735,3039,25,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
116,2020-05-15,6,77015,2068,7.6343372356,7.6578691288,3192,153,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
117,2020-05-16,6,78933,1918,7.5590382554,7.5601966092,3254,62,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
118,2020-05-17,6,80366,1433,7.2675254278,7.428393111,3290,36,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
119,2020-05-18,6,81943,1577,7.363279587,7.397953958,3322,32,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
120,2020-05-19,6,83981,2038,7.6197242138,7.4861579423,3422,100,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
